hand,groupId,groupName,reason,win,lose,mistake,summary,special
63s,low_suited_junk,低スーテッド,スーテッドだがカード強度と連結性が不足しやすい。,まれなフラッシュや意外なストレート。,弱いペア、弱いフラッシュで上に負ける。,スーテッドなら何でも強いと思うこと。,多くはFold寄り。条件を選ぶ。,False
62s,low_suited_junk,低スーテッド,スーテッドだがカード強度と連結性が不足しやすい。,まれなフラッシュや意外なストレート。,弱いペア、弱いフラッシュで上に負ける。,スーテッドなら何でも強いと思うこと。,多くはFold寄り。条件を選ぶ。,False
A5o,weak_offsuit_ace,弱オフスートA,Aを持つが、スーテッドでないためプレイアビリティは低い。,Aヒットで弱い相手に勝つ。,強いAにキッカー負けしやすい。,Aがあるから参加しすぎること。,見た目より危険。早いポジションでは慎重。,False
K5o,offsuit_king_weak,弱オフスートK,Kを持つがキッカーが弱く、プレイアビリティが低い。,Kヒットで小さく勝つ。,Kヒットで上位Kに負ける。,Kがあるだけで参加すること。,初心者が損しやすいハンド。,False
Q5o,offsuit_queen_weak,弱オフスートQ,Qを持つが、キッカーとスーテッド性が不足。,Qヒットで小さく勝つ。,上位Qやトップペアに負ける。,弱いトップペアで粘りすぎること。,多くのスポットでFold寄り。,False
J5o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
T5o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
95o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
85o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
75o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
65o,offsuit_connected,オフスートコネクター,ストレート性はあるがフラッシュがなく、価値は限定的。,ストレート、時々ツーペア。,弱いワンペアで負ける。,スーテッドコネクターと同じ価値で扱うこと。,オフスートは価値が下がる。,False
55,small_pocket,小ポケット,主な価値はセット。安くフロップを見られる場面で価値が上がる。,セットで相手のトップペアから大きく取る。,セットにならず高カードボードで苦しくなる。,セット未完成でコールを重ねること。,セット狙い。外れたら軽く手放す。,False
54s,suited_connector_low,65s-54s,低い連結スーテッドで、隠れた強い役を作れる。,相手が読みにくいストレートやフラッシュ。,低いワンペア、弱いドロー。,参加しすぎること。,境界ハンドとして扱う。,False
53s,suited_gap_high,強スーテッドギャッパー,スーテッドと一部のストレート性能がある。,フラッシュ、強ドロー、意外なストレート。,ヒット率が低く、ワンペアも弱い。,スーテッドというだけで参加しすぎること。,ポジションと相手を選ぶ。,False
52s,low_suited_junk,低スーテッド,スーテッドだがカード強度と連結性が不足しやすい。,まれなフラッシュや意外なストレート。,弱いペア、弱いフラッシュで上に負ける。,スーテッドなら何でも強いと思うこと。,多くはFold寄り。条件を選ぶ。,False
A4o,weak_offsuit_ace,弱オフスートA,Aを持つが、スーテッドでないためプレイアビリティは低い。,Aヒットで弱い相手に勝つ。,強いAにキッカー負けしやすい。,Aがあるから参加しすぎること。,見た目より危険。早いポジションでは慎重。,False
K4o,offsuit_king_weak,弱オフスートK,Kを持つがキッカーが弱く、プレイアビリティが低い。,Kヒットで小さく勝つ。,Kヒットで上位Kに負ける。,Kがあるだけで参加すること。,初心者が損しやすいハンド。,False
Q4o,offsuit_queen_weak,弱オフスートQ,Qを持つが、キッカーとスーテッド性が不足。,Qヒットで小さく勝つ。,上位Qやトップペアに負ける。,弱いトップペアで粘りすぎること。,多くのスポットでFold寄り。,False
J4o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
T4o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
94o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
84o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
74o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
64o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
54o,offsuit_connected,オフスートコネクター,ストレート性はあるがフラッシュがなく、価値は限定的。,ストレート、時々ツーペア。,弱いワンペアで負ける。,スーテッドコネクターと同じ価値で扱うこと。,オフスートは価値が下がる。,False
44,small_pocket,小ポケット,主な価値はセット。安くフロップを見られる場面で価値が上がる。,セットで相手のトップペアから大きく取る。,セットにならず高カードボードで苦しくなる。,セット未完成でコールを重ねること。,セット狙い。外れたら軽く手放す。,False
43s,low_suited_junk,低スーテッド,スーテッドだがカード強度と連結性が不足しやすい。,まれなフラッシュや意外なストレート。,弱いペア、弱いフラッシュで上に負ける。,スーテッドなら何でも強いと思うこと。,多くはFold寄り。条件を選ぶ。,False
42s,low_suited_junk,低スーテッド,スーテッドだがカード強度と連結性が不足しやすい。,まれなフラッシュや意外なストレート。,弱いペア、弱いフラッシュで上に負ける。,スーテッドなら何でも強いと思うこと。,多くはFold寄り。条件を選ぶ。,False
A3o,weak_offsuit_ace,弱オフスートA,Aを持つが、スーテッドでないためプレイアビリティは低い。,Aヒットで弱い相手に勝つ。,強いAにキッカー負けしやすい。,Aがあるから参加しすぎること。,見た目より危険。早いポジションでは慎重。,False
K3o,offsuit_king_weak,弱オフスートK,Kを持つがキッカーが弱く、プレイアビリティが低い。,Kヒットで小さく勝つ。,Kヒットで上位Kに負ける。,Kがあるだけで参加すること。,初心者が損しやすいハンド。,False
Q3o,offsuit_queen_weak,弱オフスートQ,Qを持つが、キッカーとスーテッド性が不足。,Qヒットで小さく勝つ。,上位Qやトップペアに負ける。,弱いトップペアで粘りすぎること。,多くのスポットでFold寄り。,False
J3o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
T3o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
93o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
83o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
73o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
63o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
53o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
43o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
33,small_pocket,小ポケット,主な価値はセット。安くフロップを見られる場面で価値が上がる。,セットで相手のトップペアから大きく取る。,セットにならず高カードボードで苦しくなる。,セット未完成でコールを重ねること。,セット狙い。外れたら軽く手放す。,False
32s,low_suited_junk,低スーテッド,スーテッドだがカード強度と連結性が不足しやすい。,まれなフラッシュや意外なストレート。,弱いペア、弱いフラッシュで上に負ける。,スーテッドなら何でも強いと思うこと。,多くはFold寄り。条件を選ぶ。,False
A2o,weak_offsuit_ace,弱オフスートA,Aを持つが、スーテッドでないためプレイアビリティは低い。,Aヒットで弱い相手に勝つ。,強いAにキッカー負けしやすい。,Aがあるから参加しすぎること。,見た目より危険。早いポジションでは慎重。,False
K2o,offsuit_king_weak,弱オフスートK,Kを持つがキッカーが弱く、プレイアビリティが低い。,Kヒットで小さく勝つ。,Kヒットで上位Kに負ける。,Kがあるだけで参加すること。,初心者が損しやすいハンド。,False
Q2o,offsuit_queen_weak,弱オフスートQ,Qを持つが、キッカーとスーテッド性が不足。,Qヒットで小さく勝つ。,上位Qやトップペアに負ける。,弱いトップペアで粘りすぎること。,多くのスポットでFold寄り。,False
J2o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
T2o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
92o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
82o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
72o,offsuit_junk,その他オフスート弱ハンド,ほぼ最弱クラス。通常は参加しない。,まれなツーペアやトリップス。,ほぼ全部。,ネタで参加して損を増やすこと。,Foldが一番の正解になりやすい。,True
62o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
52o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
42o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
32o,offsuit_junk,その他オフスート弱ハンド,カード強度、スーテッド性、連結性が不足している。,偶然のツーペアやトリップス。,ほとんどの通常ボードで不利。,暇だから参加すること。,Foldが利益を守る。,False
22,small_pocket,小ポケット,主な価値はセット。安くフロップを見られる場面で価値が上がる。,セットで相手のトップペアから大きく取る。,セットにならず高カードボードで苦しくなる。,セット未完成でコールを重ねること。,セット狙い。外れたら軽く手放す。,False
